날짜,요일,날씨,유료합계,무료합계,총계
2019-01-01,화,구름 조금,919,605,"1,524"
2019-01-02,수,맑음,175,459,634
2019-01-03,목,맑음,182,595,777
2019-01-04,금,구름 많음,181,509,690
2019-01-05,토,,740,861,"1,601"
2019-01-06,일,,"1,013","1,044","2,057"
2019-01-07,월,,213,560,773
2019-01-08,화,,152,652,804
2019-01-09,수,구름 많음,100,429,529
2019-01-10,목,구름 많음,203,636,839
2019-01-11,금,,248,566,814
2019-01-12,토,맑음,839,"1,016","1,855"
2019-01-13,일,,887,793,"1,680"
2019-01-14,월,,112,321,433
2019-01-15,화,,119,374,493
2019-01-16,수,맑음,169,505,674
2019-01-17,목,맑음,544,676,"1,220"
2019-01-18,금,맑음,238,572,810
2019-01-19,토,흐림,886,852,"1,738"
2019-01-20,일,맑음,"1,139",925,"2,064"
2019-01-21,월,구름 조금,214,517,731
2019-01-22,화,구름 조금,300,688,988
2019-01-23,수,맑음,213,543,756
2019-01-24,목,구름 조금,290,720,"1,010"
2019-01-25,금,,256,626,882
2019-01-26,토,,885,"1,138","2,023"
2019-01-27,일,,"1,400",991,"2,391"
2019-01-28,월,,223,480,703
2019-01-29,화,구름 조금,313,625,938
2019-01-30,수,구름 많음,215,501,716
2019-01-31,목,구름 많음,"1,089",535,"1,624"
2019-02-01,금,맑음,168,458,626
2019-02-02,토,구름 많음,780,850,"1,630"
2019-02-03,일,비,148,257,405
2019-02-04,월,,"1,883",667,"2,550"
2019-02-05,화,,"3,064",791,"3,855"
2019-02-06,수,,"2,453","1,593","4,046"
2019-02-07,목,구름 조금,433,563,996
2019-02-08,금,,395,376,771
2019-02-09,토,맑음,910,861,"1,771"
2019-02-10,일,구름 많음,849,803,"1,652"
2019-02-11,월,맑음,231,501,732
2019-02-12,화,구름 조금,270,771,"1,041"
2019-02-13,수,맑음,254,663,917
2019-02-14,목,구름 많음,706,584,"1,290"
2019-02-15,금,흐림,130,457,587
2019-02-16,토,맑음,987,902,"1,889"
2019-02-17,일,맑음,"1,788","1,046","2,834"
2019-02-18,월,,520,564,"1,084"
2019-02-19,화,,106,408,514
2019-02-20,수,,250,582,832
2019-02-21,목,맑음,374,624,998
2019-02-22,금,구름 많음,373,632,"1,005"
2019-02-23,토,맑음,"2,638","1,448","4,086"
2019-02-24,일,,"5,261","2,205","7,466"
2019-02-25,월,,750,678,"1,428"
2019-02-26,화,,"1,273","1,012","2,285"
2019-02-27,수,구름 많음,"1,716",879,"2,595"
2019-02-28,목,구름 조금,"1,210",925,"2,135"
2019-03-01,금,,"4,730","1,534","6,264"
2019-03-02,토,,"4,064","1,427","5,491"
2019-03-03,일,,"3,160","1,233","4,393"
2019-03-04,월,,356,466,822
2019-03-05,화,구름 많음,213,436,649
2019-03-06,수,구름 많음,130,383,513
2019-03-07,목,,516,680,"1,196"
2019-03-08,금,,792,830,"1,622"
2019-03-14,목,,492,859,"1,351"
2019-03-15,금,눈/비,397,566,963
2019-03-18,월,,"1,055",890,"1,945"
2019-03-19,화,,973,"1,104","2,077"
2019-03-20,수,흐림,253,506,759
2019-03-21,목,구름 많음,446,698,"1,144"
2019-03-22,금,맑음,668,809,"1,477"
2019-03-23,토,눈/비,"2,097","1,465","3,562"
2019-03-24,일,맑음,"10,039","2,748","12,787"
2019-03-25,월,구름 많음,768,770,"1,538"
2019-03-26,화,구름 조금,791,953,"1,744"
2019-03-27,수,구름 많음,504,613,"1,117"
2019-03-28,목,구름 많음,761,904,"1,665"
2019-03-29,금,구름 조금,"1,644","1,226","2,870"
2019-03-30,토,흐림,"1,539",913,"2,452"
2019-03-31,일,구름 조금,"3,061","1,357","4,418"
2019-04-01,월,구름 조금,"1,064",812,"1,876"
2019-04-02,화,구름 조금,"1,020","1,061","2,081"
2019-04-03,수,맑음,"2,749","1,208","3,957"
2019-04-04,목,맑음,"1,630","1,430","3,060"
2019-04-05,금,맑음,"2,991","1,109","4,100"
2019-04-06,토,비,"8,490","2,782","11,272"
2019-04-07,일,구름 조금,"24,842","7,082","31,924"
2019-04-08,월,맑음,"3,885","1,616","5,501"
2019-04-09,화,비,"1,388","1,641","3,029"
2019-04-10,수,흐림,973,"1,151","2,124"
2019-04-11,목,구름 많음,"5,834","2,743","8,577"
2019-04-12,금,맑음,"5,313","3,983","9,296"
2019-04-13,토,구름 많음,"29,273","9,927","39,200"
2019-04-14,일,흐림,"3,675","1,342","5,017"
2019-04-15,월,맑음,"3,835","2,721","6,556"
2019-04-16,화,구름 많음,"3,146","3,836","6,982"
2019-04-17,수,맑음,"3,198","2,842","6,040"
2019-04-18,목,,"1,905","2,886","4,791"
2019-04-19,금,,"3,354","3,140","6,494"
2019-04-20,토,,"21,975","7,444","29,419"
2019-04-21,일,,"15,243","4,631","19,874"
2019-04-22,월,맑음,"2,811","1,634","4,445"
2019-04-23,화,흐림,"1,900","2,005","3,905"
2019-04-24,수,구름 많음,"1,451","2,024","3,475"
2019-04-25,목,비,"5,373","1,496","6,869"
2019-04-26,금,구름 많음,"2,315","1,235","3,550"
2019-04-27,토,구름 조금,"18,863","4,914","23,777"
2019-04-28,일,구름 많음,"13,786","4,178","17,964"
2019-04-29,월,흐림,"1,437","1,846","3,283"
2019-04-30,화,,"3,044","3,789","6,833"
